contract_id,ndc,distributor_id,contract_type,contract_price_per_pack,effective_date,expiration_date,gpo_name
CTR00242,98669-903-28,CAH,Prime Vendor,4.03,2024-01-01,2025-12-31,
CTR00243,98669-903-28,MCK,340B,1.47,2024-01-01,2025-12-31,
CTR00248,62120-747-62,MCK,Prime Vendor,7.33,2024-01-01,2025-12-31,
CTR00249,82408-727-65,ABC,GPO,18.06,2024-01-01,2025-12-31,Premier
CTR00257,65749-587-96,ABC,Direct,0.28,2024-01-01,2025-12-31,
CTR00258,32223-787-20,MCK,GPO,0.3,2024-01-01,2025-12-31,Premier
CTR00259,32223-787-20,CAH,Prime Vendor,0.32,2024-01-01,2025-12-31,
CTR00262,89846-334-30,MCK,GPO,0.55,2024-01-01,2025-12-31,HealthTrust
CTR00264,24669-197-68,ABC,GPO,9.46,2024-01-01,2025-12-31,Premier
CTR00268,81651-620-32,CAH,340B,13.86,2024-01-01,2025-12-31,
CTR00269,75142-666-42,ABC,GPO,6.45,2024-01-01,2025-12-31,Vizient
CTR00270,75142-666-42,MCK,GPO,6.45,2024-01-01,2025-12-31,HealthTrust
CTR00278,35925-784-33,ABC,Direct,237510,2024-01-01,2025-12-31,
CTR00279,35925-784-33,MCK,GPO,208800,2024-01-01,2025-12-31,HealthTrust
