date,store_id,ndc,quantity_dispensed,days_supply,payer_type,rx_fill_count
2025-09-07,ST001,62110-787-10,1,90,commercial,1
2025-09-08,ST001,62110-787-10,3,60,medicaid,1
2025-09-09,ST001,62110-787-10,6,30,commercial,2
2025-09-10,ST001,62110-787-10,9,90,cash,2
2025-09-11,ST001,62110-787-10,3,90,commercial,1
2025-09-12,ST001,62110-787-10,6,30,commercial,1
2025-09-13,ST001,62110-787-10,6,30,medicaid,2
2025-09-14,ST001,62110-787-10,2,60,medicare_part_d,1
2025-09-15,ST001,62110-787-10,3,90,commercial,1
2025-09-16,ST001,62110-787-10,3,90,cash,1
2025-09-17,ST001,62110-787-10,2,30,commercial,1
2025-09-18,ST001,62110-787-10,4,90,commercial,1
2025-09-19,ST001,62110-787-10,2,30,commercial,1
2025-09-20,ST001,62110-787-10,1,60,commercial,1
2025-09-22,ST001,62110-787-10,5,60,medicare_part_d,2
2025-09-23,ST001,62110-787-10,4,30,medicaid,1
2025-09-24,ST001,62110-787-10,4,90,commercial,1
2025-09-25,ST001,62110-787-10,4,60,commercial,1
2025-09-26,ST001,62110-787-10,4,60,medicare_part_d,1
2025-09-27,ST001,62110-787-10,2,90,commercial,1
2025-09-28,ST001,62110-787-10,2,90,commercial,1
2025-09-29,ST001,62110-787-10,4,90,medicaid,1
2025-09-30,ST001,62110-787-10,5,60,medicaid,1
2025-10-01,ST001,62110-787-10,4,60,commercial,1
2025-10-02,ST001,62110-787-10,2,60,commercial,1
2025-10-03,ST001,62110-787-10,5,30,commercial,1
2025-10-04,ST001,62110-787-10,2,90,medicare_part_d,1
2025-10-05,ST001,62110-787-10,5,30,commercial,1
2025-10-06,ST001,62110-787-10,4,60,commercial,1
2025-10-07,ST001,62110-787-10,5,60,medicare_part_d,2
2025-10-08,ST001,62110-787-10,6,30,medicaid,1
2025-10-09,ST001,62110-787-10,3,60,medicaid,1
2025-10-10,ST001,62110-787-10,5,90,commercial,1
2025-10-11,ST001,62110-787-10,3,30,commercial,1
2025-10-12,ST001,62110-787-10,1,30,commercial,1
2025-10-13,ST001,62110-787-10,6,90,commercial,1
2025-10-14,ST001,62110-787-10,5,30,cash,2
2025-10-15,ST001,62110-787-10,5,90,medicare_part_d,2
2025-10-16,ST001,62110-787-10,4,60,commercial,1
2025-10-17,ST001,62110-787-10,4,90,commercial,1
2025-10-18,ST001,62110-787-10,2,30,cash,1
2025-10-19,ST001,62110-787-10,2,30,commercial,1
2025-10-20,ST001,62110-787-10,6,60,medicare_part_d,1
2025-10-21,ST001,62110-787-10,3,60,commercial,1
2025-10-22,ST001,62110-787-10,7,90,medicare_part_d,2
2025-10-23,ST001,62110-787-10,1,60,commercial,1
2025-10-24,ST001,62110-787-10,5,90,medicare_part_d,2
2025-10-25,ST001,62110-787-10,3,90,commercial,1
2025-10-26,ST001,62110-787-10,1,90,commercial,1
2025-10-27,ST001,62110-787-10,4,60,medicaid,1
2025-10-29,ST001,62110-787-10,4,60,commercial,1
2025-10-30,ST001,62110-787-10,1,60,commercial,1
2025-10-31,ST001,62110-787-10,2,60,medicare_part_d,1
2025-11-01,ST001,62110-787-10,3,60,medicaid,1
2025-11-03,ST001,62110-787-10,4,60,commercial,1
2025-11-04,ST001,62110-787-10,6,90,commercial,1
2025-11-05,ST001,62110-787-10,4,90,commercial,1
2025-11-06,ST001,62110-787-10,8,90,commercial,3
2025-11-07,ST001,62110-787-10,4,30,commercial,1
2025-11-08,ST001,62110-787-10,2,60,cash,1
2025-11-09,ST001,62110-787-10,3,60,medicare_part_d,1
2025-11-10,ST001,62110-787-10,6,90,commercial,2
2025-11-11,ST001,62110-787-10,2,30,medicare_part_d,1
2025-11-12,ST001,62110-787-10,6,90,commercial,2
2025-11-13,ST001,62110-787-10,7,60,medicaid,2
2025-11-14,ST001,62110-787-10,7,60,commercial,1
2025-11-15,ST001,62110-787-10,1,90,commercial,1
2025-11-17,ST001,62110-787-10,5,90,commercial,1
2025-11-18,ST001,62110-787-10,5,90,commercial,2
2025-11-19,ST001,62110-787-10,8,90,medicaid,2
2025-11-20,ST001,62110-787-10,4,60,medicaid,1
2025-11-21,ST001,62110-787-10,5,90,medicare_part_d,1
2025-11-22,ST001,62110-787-10,3,90,medicaid,1
2025-11-23,ST001,62110-787-10,2,30,commercial,1
2025-11-24,ST001,62110-787-10,4,90,commercial,1
2025-11-25,ST001,62110-787-10,1,30,commercial,1
2025-11-26,ST001,62110-787-10,1,60,medicaid,1
2025-11-27,ST001,62110-787-10,4,90,commercial,1
2025-11-28,ST001,62110-787-10,5,60,commercial,1
2025-11-29,ST001,62110-787-10,5,30,commercial,1
2025-11-30,ST001,62110-787-10,3,30,medicaid,1
2025-12-01,ST001,62110-787-10,3,30,commercial,1
2025-12-02,ST001,62110-787-10,3,60,medicaid,1
2025-12-03,ST001,62110-787-10,6,30,commercial,2
2025-12-04,ST001,62110-787-10,4,90,medicare_part_d,1
2025-12-05,ST001,62110-787-10,4,60,medicare_part_d,1
2025-12-06,ST001,62110-787-10,9,90,medicare_part_d,1
2025-12-07,ST001,62110-787-10,1,30,cash,1
2025-12-08,ST001,62110-787-10,3,90,cash,1
2025-12-09,ST001,62110-787-10,8,90,commercial,1
2025-12-10,ST001,62110-787-10,5,90,commercial,2
2025-12-11,ST001,62110-787-10,5,90,commercial,1
2025-12-12,ST001,62110-787-10,5,60,commercial,2
2025-12-13,ST001,62110-787-10,3,90,commercial,1
2025-12-14,ST001,62110-787-10,2,30,commercial,1
2025-12-15,ST001,62110-787-10,4,60,medicare_part_d,1
2025-12-16,ST001,62110-787-10,2,90,medicaid,1
2025-12-17,ST001,62110-787-10,4,90,commercial,1
2025-12-18,ST001,62110-787-10,3,60,commercial,1
2025-12-19,ST001,62110-787-10,2,60,medicare_part_d,1
2025-12-20,ST001,62110-787-10,2,30,medicare_part_d,1
2025-12-21,ST001,62110-787-10,2,60,medicaid,1
2025-12-22,ST001,62110-787-10,3,30,cash,1
2025-12-23,ST001,62110-787-10,8,90,medicare_part_d,1
2025-12-24,ST001,62110-787-10,5,30,medicaid,1
2025-12-25,ST001,62110-787-10,1,90,medicaid,1
2025-12-26,ST001,62110-787-10,7,30,medicaid,1
2025-12-27,ST001,62110-787-10,5,90,commercial,1
2025-12-28,ST001,62110-787-10,1,60,medicaid,1
2025-12-29,ST001,62110-787-10,8,90,cash,1
2025-12-30,ST001,62110-787-10,3,30,commercial,1
2025-08-01,ST001,37559-713-63,8,90,medicare_part_d,3
2025-08-02,ST001,37559-713-63,7,90,commercial,2
2025-08-03,ST001,37559-713-63,2,60,commercial,1
2025-08-04,ST001,37559-713-63,6,30,medicare_part_d,1
2025-08-05,ST001,37559-713-63,4,90,commercial,1
2025-08-06,ST001,37559-713-63,8,90,commercial,1
2025-08-07,ST001,37559-713-63,5,30,medicare_part_d,1
2025-08-08,ST001,37559-713-63,3,30,commercial,1
2025-08-09,ST001,37559-713-63,5,30,commercial,2
2025-08-10,ST001,37559-713-63,2,90,commercial,1
2025-08-11,ST001,37559-713-63,11,90,medicare_part_d,4
2025-08-12,ST001,37559-713-63,5,30,medicaid,2
2025-08-13,ST001,37559-713-63,5,30,commercial,2
2025-08-14,ST001,37559-713-63,7,90,medicare_part_d,2
2025-08-15,ST001,37559-713-63,4,60,cash,1
2025-08-16,ST001,37559-713-63,4,60,commercial,1
2025-08-17,ST001,37559-713-63,5,30,commercial,1
2025-08-18,ST001,37559-713-63,6,60,commercial,1
2025-08-19,ST001,37559-713-63,11,30,medicare_part_d,2
2025-08-20,ST001,37559-713-63,8,60,commercial,1
2025-08-21,ST001,37559-713-63,7,30,commercial,1
2025-08-22,ST001,37559-713-63,4,30,medicare_part_d,1
2025-08-23,ST001,37559-713-63,3,90,commercial,1
2025-08-24,ST001,37559-713-63,2,30,medicaid,1
2025-08-25,ST001,37559-713-63,9,60,commercial,3
2025-08-26,ST001,37559-713-63,4,60,commercial,1
2025-08-27,ST001,37559-713-63,3,30,medicare_part_d,1
2025-08-28,ST001,37559-713-63,7,30,medicare_part_d,1
2025-08-29,ST001,37559-713-63,7,60,commercial,1
2025-08-30,ST001,37559-713-63,1,90,commercial,1
2025-08-31,ST001,37559-713-63,2,30,medicare_part_d,1
2025-09-01,ST001,37559-713-63,6,90,medicare_part_d,2
2025-09-02,ST001,37559-713-63,6,30,commercial,1
2025-09-03,ST001,37559-713-63,6,60,commercial,2
2025-09-04,ST001,37559-713-63,1,90,commercial,1
2025-09-05,ST001,37559-713-63,8,60,medicaid,3
2025-09-06,ST001,37559-713-63,4,60,medicaid,1
2025-09-07,ST001,37559-713-63,1,90,cash,1
2025-09-08,ST001,37559-713-63,2,60,commercial,1
2025-09-09,ST001,37559-713-63,11,30,commercial,4
2025-09-10,ST001,37559-713-63,8,30,commercial,1
2025-09-11,ST001,37559-713-63,9,90,medicare_part_d,3
2025-09-12,ST001,37559-713-63,6,90,medicaid,2
2025-09-13,ST001,37559-713-63,3,60,medicare_part_d,1
2025-09-14,ST001,37559-713-63,2,90,commercial,1
2025-09-15,ST001,37559-713-63,8,30,medicaid,2
2025-09-16,ST001,37559-713-63,8,60,medicaid,3
2025-09-17,ST001,37559-713-63,2,30,cash,1
2025-09-18,ST001,37559-713-63,3,60,medicaid,1
2025-09-19,ST001,37559-713-63,6,90,commercial,1
2025-09-20,ST001,37559-713-63,5,90,commercial,1
2025-09-21,ST001,37559-713-63,1,90,commercial,1
2025-09-22,ST001,37559-713-63,9,90,commercial,3
2025-09-23,ST001,37559-713-63,5,60,medicare_part_d,1
2025-09-24,ST001,37559-713-63,10,90,cash,3
2025-09-25,ST001,37559-713-63,7,30,commercial,1
2025-09-26,ST001,37559-713-63,5,90,commercial,1
2025-09-27,ST001,37559-713-63,3,60,medicare_part_d,1
2025-09-28,ST001,37559-713-63,1,90,commercial,1
2025-09-29,ST001,37559-713-63,6,90,medicare_part_d,1
2025-09-30,ST001,37559-713-63,9,90,commercial,2
2025-10-01,ST001,37559-713-63,3,30,commercial,1
2025-10-02,ST001,37559-713-63,13,90,medicaid,3
2025-10-03,ST001,37559-713-63,8,60,medicare_part_d,3
2025-10-04,ST001,37559-713-63,4,30,commercial,1
2025-10-05,ST001,37559-713-63,2,90,medicaid,1
2025-10-06,ST001,37559-713-63,7,30,commercial,2
2025-10-07,ST001,37559-713-63,1,60,cash,1
2025-10-08,ST001,37559-713-63,7,30,cash,2
2025-10-09,ST001,37559-713-63,2,60,medicaid,1
2025-10-10,ST001,37559-713-63,4,90,commercial,1
2025-10-11,ST001,37559-713-63,5,60,commercial,2
2025-10-13,ST001,37559-713-63,7,60,commercial,1
2025-10-14,ST001,37559-713-63,6,90,medicare_part_d,2
2025-10-15,ST001,37559-713-63,5,90,commercial,1
2025-10-16,ST001,37559-713-63,10,60,medicare_part_d,2
2025-10-17,ST001,37559-713-63,3,90,medicare_part_d,1
2025-10-18,ST001,37559-713-63,2,90,commercial,1
2025-10-19,ST001,37559-713-63,6,60,medicare_part_d,1
2025-10-20,ST001,37559-713-63,5,90,medicaid,1
2025-10-21,ST001,37559-713-63,6,30,medicaid,1
2025-10-22,ST001,37559-713-63,8,60,medicaid,3
2025-10-23,ST001,37559-713-63,5,60,medicare_part_d,1
2025-10-24,ST001,37559-713-63,6,60,commercial,2
2025-10-25,ST001,37559-713-63,10,60,medicaid,2
2025-10-26,ST001,37559-713-63,2,90,commercial,1
2025-10-27,ST001,37559-713-63,9,90,medicaid,3
2025-10-28,ST001,37559-713-63,7,30,medicaid,1
2025-10-29,ST001,37559-713-63,9,30,medicare_part_d,2
2025-10-30,ST001,37559-713-63,5,90,commercial,1
2025-10-31,ST001,37559-713-63,8,60,commercial,3
2025-11-01,ST001,37559-713-63,3,60,medicare_part_d,1
2025-11-02,ST001,37559-713-63,1,30,commercial,1
2025-11-03,ST001,37559-713-63,7,90,commercial,1
2025-11-04,ST001,37559-713-63,3,30,commercial,1
2025-11-05,ST001,37559-713-63,7,60,cash,2
2025-11-06,ST001,37559-713-63,5,30,cash,2
2025-11-07,ST001,37559-713-63,11,30,commercial,2
2025-11-08,ST001,37559-713-63,6,60,medicare_part_d,1
2025-11-09,ST001,37559-713-63,3,60,commercial,1
2025-11-10,ST001,37559-713-63,11,60,medicaid,2
2025-11-11,ST001,37559-713-63,6,60,commercial,1
2025-11-12,ST001,37559-713-63,6,30,commercial,1
2025-11-13,ST001,37559-713-63,1,30,medicare_part_d,1
2025-11-14,ST001,37559-713-63,5,30,commercial,1
2025-11-15,ST001,37559-713-63,5,60,medicaid,1
2025-11-16,ST001,37559-713-63,1,30,medicare_part_d,1
2025-11-17,ST001,37559-713-63,7,60,medicare_part_d,2
2025-11-18,ST001,37559-713-63,8,60,medicaid,3
2025-11-19,ST001,37559-713-63,7,30,medicare_part_d,1
2025-11-20,ST001,37559-713-63,9,90,commercial,3
2025-11-21,ST001,37559-713-63,5,60,cash,1
2025-11-22,ST001,37559-713-63,4,90,commercial,1
2025-11-23,ST001,37559-713-63,2,90,medicare_part_d,1
2025-11-24,ST001,37559-713-63,9,30,cash,1
2025-11-25,ST001,37559-713-63,4,90,medicaid,1
2025-11-26,ST001,37559-713-63,6,60,commercial,2
2025-11-27,ST001,37559-713-63,4,60,medicaid,1
2025-11-28,ST001,37559-713-63,7,30,medicare_part_d,1
2025-11-29,ST001,37559-713-63,7,90,medicaid,1
2025-11-30,ST001,37559-713-63,3,60,cash,1
2025-12-01,ST001,37559-713-63,11,60,medicare_part_d,4
2025-12-02,ST001,37559-713-63,6,30,medicare_part_d,2
2025-12-03,ST001,37559-713-63,6,60,commercial,1
2025-12-04,ST001,37559-713-63,7,60,medicare_part_d,1
2025-12-05,ST001,37559-713-63,3,90,commercial,1
2025-12-06,ST001,37559-713-63,5,90,commercial,2
2025-12-07,ST001,37559-713-63,4,90,medicare_part_d,1
2025-12-08,ST001,37559-713-63,5,60,cash,1
2025-12-09,ST001,37559-713-63,8,60,medicare_part_d,1
2025-12-10,ST001,37559-713-63,5,90,commercial,2
2025-12-11,ST001,37559-713-63,9,60,commercial,3
2025-12-12,ST001,37559-713-63,6,90,cash,2
2025-12-13,ST001,37559-713-63,4,90,medicaid,1
2025-12-14,ST001,37559-713-63,1,30,commercial,1
2025-12-15,ST001,37559-713-63,7,90,medicaid,2
2025-12-16,ST001,37559-713-63,4,60,medicare_part_d,1
2025-12-17,ST001,37559-713-63,7,30,cash,1
2025-12-18,ST001,37559-713-63,7,90,medicare_part_d,2
2025-12-19,ST001,37559-713-63,1,90,cash,1
2025-12-20,ST001,37559-713-63,4,30,commercial,1
2025-12-21,ST001,37559-713-63,3,60,medicare_part_d,1
2025-12-22,ST001,37559-713-63,6,30,medicare_part_d,2
2025-12-23,ST001,37559-713-63,6,30,medicare_part_d,1
2025-12-24,ST001,37559-713-63,12,60,commercial,2
2025-12-25,ST001,37559-713-63,6,90,medicare_part_d,2
2025-12-26,ST001,37559-713-63,6,90,medicaid,1
2025-12-27,ST001,37559-713-63,6,60,commercial,1
2025-12-29,ST001,37559-713-63,8,60,medicare_part_d,3
2025-12-30,ST001,37559-713-63,9,60,cash,3
2025-08-01,ST001,59428-765-88,9,90,medicare_part_d,1
2025-08-02,ST001,59428-765-88,6,90,medicare_part_d,1
2025-08-03,ST001,59428-765-88,6,30,medicaid,2
2025-08-04,ST001,59428-765-88,10,30,commercial,2
2025-08-05,ST001,59428-765-88,8,90,medicare_part_d,1
2025-08-06,ST001,59428-765-88,7,60,medicaid,2
2025-08-07,ST001,59428-765-88,7,60,commercial,1
2025-08-08,ST001,59428-765-88,8,60,commercial,1
2025-08-09,ST001,59428-765-88,2,90,commercial,1
2025-08-10,ST001,59428-765-88,3,30,commercial,1
2025-08-11,ST001,59428-765-88,10,30,medicare_part_d,1
2025-08-12,ST001,59428-765-88,12,90,medicare_part_d,3
2025-08-13,ST001,59428-765-88,5,60,medicare_part_d,2
2025-08-14,ST001,59428-765-88,11,90,commercial,1
2025-08-15,ST001,59428-765-88,4,90,commercial,1
2025-08-16,ST001,59428-765-88,7,30,medicaid,2
2025-08-17,ST001,59428-765-88,2,60,commercial,1
2025-08-18,ST001,59428-765-88,9,90,commercial,1
2025-08-19,ST001,59428-765-88,8,60,medicaid,2
2025-08-20,ST001,59428-765-88,9,30,commercial,3
2025-08-21,ST001,59428-765-88,9,90,medicare_part_d,1
2025-08-22,ST001,59428-765-88,11,60,commercial,1
2025-08-23,ST001,59428-765-88,1,30,commercial,1
2025-08-24,ST001,59428-765-88,1,60,medicaid,1
2025-08-25,ST001,59428-765-88,13,90,cash,3
2025-08-26,ST001,59428-765-88,7,60,commercial,1
2025-08-27,ST001,59428-765-88,2,60,medicare_part_d,1
2025-08-28,ST001,59428-765-88,9,30,commercial,3
2025-08-29,ST001,59428-765-88,11,60,medicaid,4
2025-08-30,ST001,59428-765-88,12,60,commercial,3
2025-09-01,ST001,59428-765-88,16,90,medicaid,5
2025-09-02,ST001,59428-765-88,9,60,medicare_part_d,2
2025-09-03,ST001,59428-765-88,3,60,commercial,1
2025-09-04,ST001,59428-765-88,4,90,medicare_part_d,1
2025-09-05,ST001,59428-765-88,8,90,commercial,1
2025-09-06,ST001,59428-765-88,4,60,medicaid,1
2025-09-07,ST001,59428-765-88,4,60,commercial,1
2025-09-08,ST001,59428-765-88,3,90,commercial,1
2025-09-09,ST001,59428-765-88,5,30,medicare_part_d,2
2025-09-10,ST001,59428-765-88,6,90,commercial,1
2025-09-11,ST001,59428-765-88,4,60,commercial,1
2025-09-12,ST001,59428-765-88,4,30,cash,1
2025-09-13,ST001,59428-765-88,11,90,commercial,4
2025-09-14,ST001,59428-765-88,1,90,commercial,1
2025-09-15,ST001,59428-765-88,11,90,medicaid,2
2025-09-16,ST001,59428-765-88,8,60,cash,1
2025-09-17,ST001,59428-765-88,5,30,commercial,2
2025-09-18,ST001,59428-765-88,10,30,cash,1
2025-09-19,ST001,59428-765-88,10,30,medicare_part_d,3
2025-09-20,ST001,59428-765-88,7,90,medicaid,1
2025-09-21,ST001,59428-765-88,2,60,commercial,1
2025-09-22,ST001,59428-765-88,9,60,cash,1
2025-09-23,ST001,59428-765-88,12,90,commercial,4
2025-09-24,ST001,59428-765-88,8,30,commercial,2
2025-09-25,ST001,59428-765-88,8,60,medicare_part_d,1
2025-09-26,ST001,59428-765-88,7,30,commercial,1
2025-09-27,ST001,59428-765-88,6,60,medicaid,2
2025-09-28,ST001,59428-765-88,4,60,medicare_part_d,1
2025-09-29,ST001,59428-765-88,6,90,medicare_part_d,2
2025-09-30,ST001,59428-765-88,3,30,commercial,1
2025-10-01,ST001,59428-765-88,9,30,medicaid,2
2025-10-02,ST001,59428-765-88,7,90,medicare_part_d,1
2025-10-03,ST001,59428-765-88,9,90,commercial,2
2025-10-04,ST001,59428-765-88,6,90,medicaid,1
2025-10-05,ST001,59428-765-88,1,90,medicaid,1
2025-10-06,ST001,59428-765-88,5,60,medicare_part_d,2
2025-10-07,ST001,59428-765-88,6,60,commercial,1
2025-10-08,ST001,59428-765-88,5,90,medicare_part_d,2
2025-10-09,ST001,59428-765-88,3,60,commercial,1
2025-10-10,ST001,59428-765-88,8,90,cash,3
2025-10-11,ST001,59428-765-88,7,90,medicaid,1
2025-10-12,ST001,59428-765-88,4,90,cash,1
2025-10-13,ST001,59428-765-88,11,60,commercial,1
2025-10-14,ST001,59428-765-88,7,90,medicare_part_d,1
2025-10-15,ST001,59428-765-88,5,90,cash,2
2025-10-16,ST001,59428-765-88,5,60,medicare_part_d,2
2025-10-17,ST001,59428-765-88,10,90,cash,1
2025-10-18,ST001,59428-765-88,1,60,commercial,1
2025-10-19,ST001,59428-765-88,3,30,commercial,1
2025-10-20,ST001,59428-765-88,4,30,medicare_part_d,1
2025-10-21,ST001,59428-765-88,7,60,commercial,1
2025-10-22,ST001,59428-765-88,9,30,commercial,1
2025-10-23,ST001,59428-765-88,14,90,medicare_part_d,3
2025-10-24,ST001,59428-765-88,7,60,medicare_part_d,2
2025-10-25,ST001,59428-765-88,4,60,commercial,1
2025-10-26,ST001,59428-765-88,3,30,medicare_part_d,1
2025-10-27,ST001,59428-765-88,10,60,commercial,1
2025-10-28,ST001,59428-765-88,10,30,commercial,2
2025-10-29,ST001,59428-765-88,2,90,commercial,1
2025-10-30,ST001,59428-765-88,11,30,commercial,4
2025-10-31,ST001,59428-765-88,8,60,commercial,3
2025-11-01,ST001,59428-765-88,5,60,commercial,1
2025-11-02,ST001,59428-765-88,1,90,commercial,1
2025-11-03,ST001,59428-765-88,2,90,commercial,1
2025-11-04,ST001,59428-765-88,10,30,medicaid,3
2025-11-05,ST001,59428-765-88,11,30,commercial,3
2025-11-06,ST001,59428-765-88,3,30,commercial,1
2025-11-07,ST001,59428-765-88,6,90,medicare_part_d,2
2025-11-08,ST001,59428-765-88,4,90,commercial,1
2025-11-09,ST001,59428-765-88,2,60,cash,1
2025-11-10,ST001,59428-765-88,10,60,cash,1
2025-11-11,ST001,59428-765-88,7,30,medicaid,1
2025-11-12,ST001,59428-765-88,3,60,commercial,1
2025-11-13,ST001,59428-765-88,5,30,cash,1
2025-11-14,ST001,59428-765-88,11,60,medicaid,2
2025-11-15,ST001,59428-765-88,5,30,medicaid,2
2025-11-16,ST001,59428-765-88,3,60,commercial,1
2025-11-17,ST001,59428-765-88,7,30,cash,2
2025-11-18,ST001,59428-765-88,6,30,commercial,2
2025-11-19,ST001,59428-765-88,8,90,medicare_part_d,3
2025-11-20,ST001,59428-765-88,11,60,medicare_part_d,4
2025-11-21,ST001,59428-765-88,3,60,commercial,1
2025-11-22,ST001,59428-765-88,3,60,commercial,1
2025-11-23,ST001,59428-765-88,2,60,commercial,1
2025-11-24,ST001,59428-765-88,7,60,medicare_part_d,2
2025-11-25,ST001,59428-765-88,9,90,medicaid,2
2025-11-26,ST001,59428-765-88,5,60,medicare_part_d,1
2025-11-27,ST001,59428-765-88,8,30,medicaid,2
2025-11-28,ST001,59428-765-88,9,90,medicaid,1
2025-11-29,ST001,59428-765-88,4,30,medicaid,1
2025-11-30,ST001,59428-765-88,4,60,medicare_part_d,1
2025-12-01,ST001,59428-765-88,6,60,commercial,1
2025-12-02,ST001,59428-765-88,9,30,commercial,1
2025-12-03,ST001,59428-765-88,10,90,medicaid,2
2025-12-04,ST001,59428-765-88,3,90,medicare_part_d,1
2025-12-05,ST001,59428-765-88,5,60,medicare_part_d,1
2025-12-06,ST001,59428-765-88,6,90,medicare_part_d,2
2025-12-07,ST001,59428-765-88,2,60,medicare_part_d,1
2025-12-08,ST001,59428-765-88,6,90,medicare_part_d,2
2025-12-09,ST001,59428-765-88,6,60,cash,1
2025-12-10,ST001,59428-765-88,8,90,commercial,2
2025-12-11,ST001,59428-765-88,10,30,commercial,3
2025-12-12,ST001,59428-765-88,10,60,commercial,2
2025-12-13,ST001,59428-765-88,4,60,commercial,1
2025-12-14,ST001,59428-765-88,2,60,medicare_part_d,1
2025-12-15,ST001,59428-765-88,7,90,medicaid,1
2025-12-16,ST001,59428-765-88,5,90,commercial,2
2025-12-17,ST001,59428-765-88,5,60,commercial,1
2025-12-18,ST001,59428-765-88,7,30,medicaid,2
2025-12-19,ST001,59428-765-88,11,90,commercial,4
2025-12-20,ST001,59428-765-88,5,90,commercial,2
2025-12-21,ST001,59428-765-88,2,60,commercial,1
2025-12-22,ST001,59428-765-88,9,60,cash,2
2025-12-23,ST001,59428-765-88,9,90,medicare_part_d,2
2025-12-24,ST001,59428-765-88,7,90,medicare_part_d,2
2025-12-25,ST001,59428-765-88,9,30,medicaid,3
2025-12-26,ST001,59428-765-88,6,60,medicaid,2
2025-12-27,ST001,59428-765-88,9,30,commercial,3
2025-12-28,ST001,59428-765-88,3,30,medicaid,1
2025-12-29,ST001,59428-765-88,14,30,medicare_part_d,4
2025-12-30,ST001,59428-765-88,11,60,commercial,1
2025-08-01,ST001,83963-779-88,3,90,commercial,1
2025-08-04,ST001,83963-779-88,6,60,medicaid,1
2025-08-05,ST001,83963-779-88,1,90,cash,1
2025-08-06,ST001,83963-779-88,1,30,commercial,1
2025-08-07,ST001,83963-779-88,2,30,cash,1
2025-08-08,ST001,83963-779-88,1,60,medicaid,1
2025-08-11,ST001,83963-779-88,1,60,medicaid,1
2025-08-12,ST001,83963-779-88,1,90,commercial,1
2025-08-13,ST001,83963-779-88,1,90,medicare_part_d,1
2025-08-14,ST001,83963-779-88,4,30,commercial,1
2025-08-15,ST001,83963-779-88,1,60,medicaid,1
2025-08-16,ST001,83963-779-88,1,30,medicare_part_d,1
2025-08-18,ST001,83963-779-88,1,60,commercial,1
2025-08-19,ST001,83963-779-88,2,90,cash,1
2025-08-20,ST001,83963-779-88,1,60,commercial,1
2025-08-23,ST001,83963-779-88,1,30,medicaid,1
2025-08-24,ST001,83963-779-88,1,90,medicare_part_d,1
2025-08-26,ST001,83963-779-88,2,90,commercial,1
2025-08-27,ST001,83963-779-88,1,30,cash,1
2025-08-28,ST001,83963-779-88,1,30,medicaid,1
2025-08-29,ST001,83963-779-88,1,30,medicare_part_d,1
2025-08-31,ST001,83963-779-88,1,60,medicaid,1
2025-09-01,ST001,83963-779-88,3,90,commercial,1
2025-09-03,ST001,83963-779-88,1,30,medicare_part_d,1
2025-09-04,ST001,83963-779-88,1,30,medicaid,1
2025-09-05,ST001,83963-779-88,1,90,medicaid,1
2025-09-06,ST001,83963-779-88,2,30,commercial,1
2025-09-07,ST001,83963-779-88,3,90,commercial,1
2025-09-11,ST001,83963-779-88,1,60,commercial,1
2025-09-13,ST001,83963-779-88,1,90,medicaid,1
2025-09-14,ST001,83963-779-88,1,60,medicare_part_d,1
2025-09-15,ST001,83963-779-88,1,90,commercial,1
2025-09-16,ST001,83963-779-88,3,90,medicaid,1
