substitution_id,shortage_id,date,store_id,original_ndc,proposed_alt_ndc,orange_book_te_match,buyer_decision,pharmacist_rated_appropriate
SUB00049,SHRT0003,2025-05-23,ST011,58181-179-41,46476-687-34,true,Deferred,true
SUB00050,SHRT0003,2025-06-07,ST005,58181-179-41,38048-898-66,true,Accepted,true
SUB00051,SHRT0003,2025-05-29,ST003,58181-179-41,46149-460-57,true,Rejected,true
SUB00052,SHRT0004,2025-05-29,ST010,83032-760-78,91352-596-81,true,Accepted,true
SUB00053,SHRT0004,2025-05-13,ST010,83032-760-78,91352-596-81,true,Deferred,true
SUB00054,SHRT0004,2025-05-28,ST008,83032-760-78,25843-137-21,true,Accepted,true
SUB00055,SHRT0004,2025-05-14,ST007,83032-760-78,25843-137-21,true,Accepted,true
SUB00056,SHRT0004,2025-05-14,ST010,83032-760-78,91352-596-81,true,Accepted,true
SUB00057,SHRT0004,2025-05-13,ST003,83032-760-78,91352-596-81,true,Accepted,true
SUB00058,SHRT0004,2025-05-22,ST007,83032-760-78,91352-596-81,true,Accepted,true
SUB00059,SHRT0004,2025-05-25,ST007,83032-760-78,91352-596-81,true,Accepted,true
SUB00060,SHRT0004,2025-05-29,ST011,83032-760-78,91352-596-81,true,Accepted,true
SUB00061,SHRT0004,2025-05-27,ST011,83032-760-78,25843-137-21,true,Accepted,true
SUB00062,SHRT0004,2025-05-16,ST001,83032-760-78,25843-137-21,true,Rejected,true
SUB00063,SHRT0004,2025-05-22,ST011,83032-760-78,25843-137-21,true,Accepted,true
SUB00064,SHRT0004,2025-05-09,ST004,83032-760-78,25843-137-21,true,Rejected,true
SUB00065,SHRT0004,2025-05-09,ST006,83032-760-78,25843-137-21,true,Rejected,true
SUB00066,SHRT0004,2025-05-11,ST001,83032-760-78,25843-137-21,true,Deferred,true
SUB00067,SHRT0004,2025-05-21,ST005,83032-760-78,91352-596-81,true,Accepted,true
SUB00068,SHRT0004,2025-05-13,ST011,83032-760-78,25843-137-21,true,Accepted,true
SUB00069,SHRT0004,2025-05-11,ST006,83032-760-78,91352-596-81,true,Accepted,true
SUB00070,SHRT0004,2025-05-10,ST008,83032-760-78,25843-137-21,true,Accepted,true
SUB00071,SHRT0005,2026-01-05,ST004,92126-761-19,48880-432-63,false,Accepted,false
SUB00072,SHRT0005,2026-01-13,ST003,92126-761-19,10080-227-35,false,Accepted,true
SUB00073,SHRT0005,2026-01-10,ST010,92126-761-19,20831-123-18,false,Accepted,true
SUB00074,SHRT0005,2026-01-13,ST001,92126-761-19,10080-227-35,false,Accepted,true
SUB00075,SHRT0005,2026-01-07,ST006,92126-761-19,20831-123-18,false,Accepted,true
SUB00076,SHRT0005,2026-01-23,ST001,92126-761-19,20831-123-18,false,Accepted,false
SUB00077,SHRT0005,2026-01-07,ST005,92126-761-19,48880-432-63,false,Deferred,false
SUB00078,SHRT0005,2026-01-20,ST008,92126-761-19,20831-123-18,false,Accepted,true
SUB00079,SHRT0005,2026-01-20,ST012,92126-761-19,10080-227-35,false,Accepted,true
SUB00080,SHRT0005,2026-01-10,ST003,92126-761-19,72368-528-78,false,Rejected,false
SUB00081,SHRT0005,2026-01-12,ST012,92126-761-19,98445-224-58,false,Accepted,true
SUB00082,SHRT0005,2026-01-19,ST004,92126-761-19,20831-123-18,false,Accepted,false
SUB00083,SHRT0005,2026-01-24,ST005,92126-761-19,48880-432-63,false,Deferred,true
SUB00084,SHRT0005,2026-01-05,ST009,92126-761-19,20831-123-18,false,Accepted,true
SUB00085,SHRT0005,2026-01-06,ST005,92126-761-19,98445-224-58,false,Accepted,true
SUB00086,SHRT0005,2026-01-06,ST002,92126-761-19,20831-123-18,false,Deferred,false
SUB00087,SHRT0005,2026-01-13,ST004,92126-761-19,72368-528-78,false,Rejected,false
SUB00088,SHRT0005,2026-01-09,ST012,92126-761-19,98445-224-58,false,Rejected,false
SUB00089,SHRT0005,2026-01-07,ST001,92126-761-19,48880-432-63,false,Rejected,true
SUB00090,SHRT0006,2025-12-10,ST002,91775-889-68,96506-687-82,false,Accepted,false
SUB00091,SHRT0006,2025-12-07,ST009,91775-889-68,94380-365-11,false,Accepted,false
SUB00092,SHRT0006,2025-12-07,ST004,91775-889-68,96506-687-82,false,Deferred,true
SUB00093,SHRT0006,2025-12-24,ST003,91775-889-68,94380-365-11,false,Accepted,false
SUB00094,SHRT0006,2025-12-17,ST003,91775-889-68,94380-365-11,false,Accepted,true
SUB00095,SHRT0006,2025-12-16,ST009,91775-889-68,77429-514-77,false,Accepted,true
SUB00096,SHRT0006,2025-12-24,ST005,91775-889-68,77429-514-77,false,Deferred,false
SUB00097,SHRT0006,2025-12-20,ST008,91775-889-68,77429-514-77,false,Accepted,true
SUB00098,SHRT0006,2025-12-15,ST012,91775-889-68,51903-506-55,false,Deferred,false
SUB00099,SHRT0006,2025-12-18,ST003,91775-889-68,77429-514-77,false,Accepted,false
SUB00100,SHRT0006,2025-12-15,ST008,91775-889-68,51903-506-55,false,Rejected,false
SUB00101,SHRT0007,2024-08-24,ST005,72186-828-29,26764-444-47,false,Accepted,true
SUB00102,SHRT0007,2024-08-23,ST007,72186-828-29,26764-444-47,false,Rejected,false
SUB00103,SHRT0007,2024-08-24,ST008,72186-828-29,26764-444-47,false,Rejected,false
SUB00104,SHRT0007,2024-08-29,ST012,72186-828-29,26764-444-47,false,Accepted,true
SUB00105,SHRT0007,2024-08-23,ST001,72186-828-29,26764-444-47,false,Deferred,false
SUB00106,SHRT0007,2024-08-28,ST002,72186-828-29,26764-444-47,false,Accepted,false
SUB00107,SHRT0007,2024-08-29,ST011,72186-828-29,26764-444-47,false,Accepted,true
SUB00108,SHRT0007,2024-08-27,ST003,72186-828-29,16711-556-42,false,Deferred,false
SUB00109,SHRT0007,2024-08-24,ST003,72186-828-29,16711-556-42,false,Accepted,false
SUB00110,SHRT0007,2024-08-27,ST001,72186-828-29,16711-556-42,false,Accepted,true
SUB00111,SHRT0007,2024-08-22,ST009,72186-828-29,26764-444-47,false,Accepted,false
SUB00112,SHRT0007,2024-08-15,ST010,72186-828-29,26764-444-47,false,Accepted,true
SUB00113,SHRT0007,2024-08-17,ST009,72186-828-29,26764-444-47,false,Accepted,true
SUB00114,SHRT0007,2024-08-25,ST004,72186-828-29,26764-444-47,false,Accepted,true
SUB00115,SHRT0007,2024-08-14,ST008,72186-828-29,26764-444-47,false,Rejected,false
SUB00116,SHRT0007,2024-08-13,ST001,72186-828-29,26764-444-47,false,Accepted,false
SUB00117,SHRT0007,2024-08-09,ST006,72186-828-29,16711-556-42,false,Deferred,true
SUB00118,SHRT0007,2024-08-27,ST004,72186-828-29,16711-556-42,false,Accepted,true
SUB00119,SHRT0007,2024-08-25,ST008,72186-828-29,16711-556-42,false,Deferred,true
SUB00120,SHRT0007,2024-08-20,ST011,72186-828-29,26764-444-47,false,Accepted,false
SUB00121,SHRT0008,2024-10-02,ST006,73903-957-64,41791-682-21,true,Accepted,true
SUB00122,SHRT0008,2024-10-12,ST008,73903-957-64,62924-796-96,true,Accepted,true
SUB00123,SHRT0008,2024-10-12,ST008,73903-957-64,41791-682-21,true,Deferred,true
SUB00124,SHRT0008,2024-10-11,ST010,73903-957-64,41791-682-21,true,Accepted,true
SUB00125,SHRT0008,2024-10-08,ST002,73903-957-64,62924-796-96,true,Accepted,true
SUB00126,SHRT0008,2024-10-17,ST008,73903-957-64,41791-682-21,true,Accepted,true
SUB00127,SHRT0008,2024-10-07,ST007,73903-957-64,41791-682-21,true,Accepted,true
SUB00128,SHRT0008,2024-10-09,ST006,73903-957-64,41791-682-21,true,Accepted,true
SUB00129,SHRT0008,2024-10-19,ST003,73903-957-64,41791-682-21,true,Rejected,true
SUB00130,SHRT0008,2024-10-05,ST002,73903-957-64,62924-796-96,true,Accepted,true
SUB00131,SHRT0008,2024-10-01,ST003,73903-957-64,62924-796-96,true,Accepted,true
SUB00132,SHRT0008,2024-10-12,ST003,73903-957-64,41791-682-21,true,Deferred,false
SUB00133,SHRT0008,2024-10-18,ST012,73903-957-64,41791-682-21,true,Accepted,true
SUB00134,SHRT0008,2024-10-13,ST011,73903-957-64,41791-682-21,true,Deferred,true
SUB00135,SHRT0008,2024-10-01,ST004,73903-957-64,62924-796-96,true,Accepted,true
SUB00136,SHRT0008,2024-10-13,ST005,73903-957-64,41791-682-21,true,Accepted,true
SUB00137,SHRT0009,2026-02-18,ST006,70781-158-58,50984-441-88,true,Accepted,true
SUB00138,SHRT0009,2026-03-03,ST009,70781-158-58,37878-217-89,true,Accepted,true
SUB00139,SHRT0009,2026-03-06,ST005,70781-158-58,50984-441-88,true,Rejected,true
SUB00140,SHRT0009,2026-02-18,ST011,70781-158-58,37878-217-89,true,Deferred,true
SUB00141,SHRT0009,2026-02-28,ST012,70781-158-58,37878-217-89,true,Accepted,true
SUB00142,SHRT0009,2026-02-26,ST007,70781-158-58,50984-441-88,true,Rejected,true
SUB00143,SHRT0009,2026-03-07,ST010,70781-158-58,50984-441-88,true,Accepted,true
SUB00144,SHRT0009,2026-02-24,ST011,70781-158-58,50984-441-88,true,Accepted,true
SUB00145,SHRT0009,2026-02-16,ST004,70781-158-58,37878-217-89,true,Accepted,true
SUB00146,SHRT0009,2026-02-27,ST004,70781-158-58,37878-217-89,true,Accepted,true
SUB00147,SHRT0009,2026-02-21,ST009,70781-158-58,37878-217-89,true,Accepted,true
SUB00148,SHRT0009,2026-02-18,ST010,70781-158-58,50984-441-88,true,Rejected,true
SUB00149,SHRT0009,2026-02-23,ST010,70781-158-58,50984-441-88,true,Deferred,true
SUB00150,SHRT0009,2026-02-22,ST012,70781-158-58,37878-217-89,true,Accepted,true
SUB00151,SHRT0009,2026-03-02,ST001,70781-158-58,50984-441-88,true,Accepted,true
SUB00152,SHRT0009,2026-03-06,ST007,70781-158-58,50984-441-88,true,Accepted,true
SUB00153,SHRT0009,2026-03-02,ST004,70781-158-58,37878-217-89,true,Accepted,true
SUB00154,SHRT0009,2026-02-25,ST005,70781-158-58,37878-217-89,true,Accepted,true
SUB00155,SHRT0009,2026-02-23,ST002,70781-158-58,37878-217-89,true,Accepted,true
SUB00156,SHRT0009,2026-02-22,ST003,70781-158-58,50984-441-88,true,Deferred,true
SUB00157,SHRT0009,2026-02-28,ST008,70781-158-58,50984-441-88,true,Deferred,true
SUB00158,SHRT0009,2026-03-07,ST009,70781-158-58,37878-217-89,true,Accepted,true
SUB00159,SHRT0009,2026-03-02,ST009,70781-158-58,50984-441-88,true,Accepted,true
SUB00160,SHRT0010,2025-06-10,ST011,35925-784-33,87946-273-95,false,Accepted,true
SUB00161,SHRT0010,2025-06-02,ST004,35925-784-33,87946-273-95,false,Accepted,true
SUB00162,SHRT0010,2025-05-23,ST012,35925-784-33,87946-273-95,false,Accepted,true
SUB00163,SHRT0010,2025-05-30,ST011,35925-784-33,87946-273-95,false,Deferred,true
SUB00164,SHRT0010,2025-05-26,ST011,35925-784-33,67007-986-48,false,Accepted,true
SUB00165,SHRT0010,2025-05-26,ST002,35925-784-33,67007-986-48,false,Accepted,true
SUB00166,SHRT0010,2025-05-31,ST009,35925-784-33,67007-986-48,false,Accepted,false
SUB00167,SHRT0010,2025-05-31,ST001,35925-784-33,87946-273-95,false,Deferred,true
SUB00168,SHRT0010,2025-06-07,ST006,35925-784-33,67007-986-48,false,Accepted,true
SUB00169,SHRT0010,2025-05-24,ST008,35925-784-33,87946-273-95,false,Accepted,true
SUB00170,SHRT0010,2025-05-22,ST010,35925-784-33,67007-986-48,false,Accepted,false
SUB00171,SHRT0010,2025-06-06,ST010,35925-784-33,87946-273-95,false,Accepted,false
SUB00172,SHRT0010,2025-06-09,ST006,35925-784-33,87946-273-95,false,Accepted,true
SUB00173,SHRT0010,2025-06-10,ST007,35925-784-33,87946-273-95,false,Deferred,true
SUB00174,SHRT0010,2025-05-24,ST002,35925-784-33,67007-986-48,false,Deferred,true
SUB00175,SHRT0010,2025-06-09,ST011,35925-784-33,67007-986-48,false,Deferred,true
SUB00176,SHRT0010,2025-06-01,ST005,35925-784-33,67007-986-48,false,Accepted,false
SUB00177,SHRT0010,2025-06-03,ST010,35925-784-33,87946-273-95,false,Accepted,true
SUB00178,SHRT0010,2025-06-06,ST008,35925-784-33,67007-986-48,false,Accepted,true
SUB00179,SHRT0010,2025-06-05,ST001,35925-784-33,87946-273-95,false,Accepted,true
SUB00180,SHRT0010,2025-05-23,ST002,35925-784-33,87946-273-95,false,Deferred,false
SUB00181,SHRT0010,2025-06-08,ST005,35925-784-33,67007-986-48,false,Accepted,true
SUB00182,SHRT0010,2025-06-04,ST004,35925-784-33,67007-986-48,false,Accepted,true
SUB00183,SHRT0011,2025-07-22,ST010,77252-823-92,64958-224-53,false,Deferred,true
SUB00184,SHRT0011,2025-07-15,ST003,77252-823-92,90257-312-26,false,Accepted,true
SUB00185,SHRT0011,2025-07-14,ST009,77252-823-92,64958-224-53,false,Accepted,true
SUB00186,SHRT0011,2025-07-15,ST010,77252-823-92,64958-224-53,false,Accepted,false
SUB00187,SHRT0011,2025-07-29,ST008,77252-823-92,90257-312-26,false,Accepted,false
SUB00188,SHRT0011,2025-07-13,ST003,77252-823-92,90257-312-26,false,Accepted,true
SUB00189,SHRT0011,2025-07-29,ST005,77252-823-92,64958-224-53,false,Accepted,false
SUB00190,SHRT0011,2025-07-17,ST008,77252-823-92,64958-224-53,false,Accepted,true
SUB00191,SHRT0011,2025-07-23,ST010,77252-823-92,90257-312-26,false,Accepted,false
SUB00192,SHRT0011,2025-07-20,ST004,77252-823-92,90257-312-26,false,Accepted,false
SUB00193,SHRT0011,2025-07-19,ST006,77252-823-92,64958-224-53,false,Accepted,true
SUB00194,SHRT0011,2025-07-14,ST009,77252-823-92,90257-312-26,false,Accepted,false
SUB00195,SHRT0011,2025-07-24,ST012,77252-823-92,64958-224-53,false,Deferred,true
SUB00196,SHRT0012,2025-01-04,ST012,26214-438-52,93830-136-56,true,Accepted,true
SUB00197,SHRT0012,2025-01-14,ST008,26214-438-52,35915-204-43,true,Accepted,true
SUB00198,SHRT0012,2024-12-31,ST005,26214-438-52,59710-758-23,true,Deferred,true
SUB00199,SHRT0012,2025-01-05,ST001,26214-438-52,67719-320-26,true,Rejected,true
SUB00200,SHRT0012,2025-01-03,ST011,26214-438-52,67719-320-26,true,Accepted,true
SUB00201,SHRT0012,2025-01-14,ST001,26214-438-52,93830-136-56,true,Accepted,true
SUB00202,SHRT0012,2025-01-10,ST006,26214-438-52,93111-407-43,true,Accepted,true
SUB00203,SHRT0012,2025-01-14,ST012,26214-438-52,93111-407-43,true,Accepted,true
SUB00204,SHRT0012,2025-01-05,ST007,26214-438-52,67719-320-26,true,Accepted,true
SUB00205,SHRT0012,2025-01-13,ST011,26214-438-52,93830-136-56,true,Accepted,true
SUB00206,SHRT0012,2025-01-01,ST012,26214-438-52,93111-407-43,true,Accepted,true
SUB00207,SHRT0012,2025-01-05,ST006,26214-438-52,93111-407-43,true,Deferred,true
SUB00208,SHRT0012,2025-01-02,ST007,26214-438-52,67719-320-26,true,Accepted,true
SUB00209,SHRT0012,2025-01-04,ST006,26214-438-52,67719-320-26,true,Accepted,true
SUB00210,SHRT0012,2025-01-03,ST001,26214-438-52,93111-407-43,true,Accepted,true
SUB00211,SHRT0012,2025-01-08,ST012,26214-438-52,67719-320-26,true,Accepted,true
SUB00212,SHRT0012,2025-01-12,ST004,26214-438-52,93111-407-43,true,Accepted,false
SUB00213,SHRT0012,2025-01-01,ST001,26214-438-52,93830-136-56,true,Deferred,true
SUB00214,SHRT0012,2025-01-13,ST009,26214-438-52,93830-136-56,true,Rejected,true
SUB00215,SHRT0012,2025-01-15,ST005,26214-438-52,59710-758-23,true,Deferred,true
SUB00216,SHRT0012,2025-01-03,ST011,26214-438-52,35915-204-43,true,Accepted,true
SUB00217,SHRT0012,2025-01-14,ST004,26214-438-52,67719-320-26,true,Deferred,true
SUB00218,SHRT0013,2026-05-20,ST007,33113-534-54,17371-428-51,false,Accepted,false
SUB00219,SHRT0013,2026-05-22,ST009,33113-534-54,30516-676-89,false,Rejected,true
SUB00220,SHRT0013,2026-05-22,ST005,33113-534-54,30516-676-89,false,Accepted,true
SUB00221,SHRT0013,2026-05-11,ST007,33113-534-54,76766-852-95,false,Accepted,true
SUB00222,SHRT0013,2026-05-05,ST011,33113-534-54,70662-147-18,false,Accepted,true
SUB00223,SHRT0013,2026-05-17,ST002,33113-534-54,17371-428-51,false,Deferred,true
SUB00224,SHRT0013,2026-05-11,ST003,33113-534-54,70662-147-18,false,Accepted,false
SUB00225,SHRT0013,2026-05-12,ST004,33113-534-54,66326-727-83,false,Accepted,false
SUB00226,SHRT0013,2026-05-10,ST003,33113-534-54,76766-852-95,false,Deferred,false
SUB00227,SHRT0013,2026-05-12,ST007,33113-534-54,76766-852-95,false,Rejected,true
SUB00228,SHRT0013,2026-05-11,ST004,33113-534-54,30516-676-89,false,Rejected,true
SUB00229,SHRT0013,2026-05-11,ST012,33113-534-54,30516-676-89,false,Rejected,true
SUB00230,SHRT0013,2026-05-11,ST004,33113-534-54,70662-147-18,false,Accepted,false
SUB00231,SHRT0013,2026-05-12,ST010,33113-534-54,66326-727-83,false,Accepted,false
SUB00232,SHRT0013,2026-05-18,ST006,33113-534-54,70662-147-18,false,Accepted,false
SUB00233,SHRT0013,2026-05-16,ST012,33113-534-54,70662-147-18,false,Accepted,true
SUB00234,SHRT0014,2025-05-05,ST008,46128-701-32,18727-622-17,false,Accepted,true
SUB00235,SHRT0014,2025-05-06,ST005,46128-701-32,97439-527-58,false,Accepted,true
SUB00236,SHRT0014,2025-04-30,ST006,46128-701-32,97439-527-58,false,Accepted,false
SUB00237,SHRT0014,2025-05-03,ST001,46128-701-32,18727-622-17,false,Accepted,true
SUB00238,SHRT0014,2025-04-28,ST006,46128-701-32,33724-581-65,false,Accepted,false
SUB00239,SHRT0014,2025-05-07,ST009,46128-701-32,33724-581-65,false,Accepted,false
SUB00240,SHRT0014,2025-05-02,ST005,46128-701-32,93222-191-58,false,Accepted,false
SUB00241,SHRT0014,2025-04-21,ST003,46128-701-32,97439-527-58,false,Accepted,true
SUB00242,SHRT0014,2025-05-06,ST006,46128-701-32,33724-581-65,false,Accepted,true
SUB00243,SHRT0014,2025-05-04,ST009,46128-701-32,93222-191-58,false,Accepted,false
SUB00244,SHRT0014,2025-04-27,ST003,46128-701-32,93222-191-58,false,Accepted,false
SUB00245,SHRT0014,2025-05-04,ST009,46128-701-32,30147-245-61,false,Rejected,false
SUB00246,SHRT0014,2025-05-06,ST012,46128-701-32,18727-622-17,false,Accepted,true
SUB00247,SHRT0014,2025-05-01,ST009,46128-701-32,18727-622-17,false,Accepted,false
SUB00248,SHRT0014,2025-05-08,ST006,46128-701-32,93222-191-58,false,Deferred,false
SUB00249,SHRT0014,2025-05-08,ST002,46128-701-32,30147-245-61,false,Deferred,false
SUB00250,SHRT0014,2025-05-04,ST004,46128-701-32,18727-622-17,false,Accepted,true
SUB00251,SHRT0015,2024-04-10,ST008,31628-407-85,58270-597-14,false,Accepted,false
SUB00252,SHRT0015,2024-04-17,ST005,31628-407-85,58270-597-14,false,Deferred,true
SUB00253,SHRT0015,2024-04-07,ST012,31628-407-85,58270-597-14,false,Accepted,true
SUB00254,SHRT0015,2024-04-15,ST004,31628-407-85,85019-372-12,false,Rejected,true
SUB00255,SHRT0015,2024-04-19,ST008,31628-407-85,29822-308-70,false,Accepted,false
SUB00256,SHRT0015,2024-04-20,ST011,31628-407-85,58270-597-14,false,Accepted,false
SUB00257,SHRT0015,2024-04-22,ST001,31628-407-85,69643-267-49,false,Accepted,true
SUB00258,SHRT0015,2024-04-03,ST011,31628-407-85,85019-372-12,false,Accepted,false
SUB00259,SHRT0015,2024-04-09,ST002,31628-407-85,85019-372-12,false,Accepted,false
SUB00260,SHRT0015,2024-04-21,ST004,31628-407-85,62560-925-82,false,Accepted,false
SUB00261,SHRT0015,2024-04-05,ST009,31628-407-85,85019-372-12,false,Accepted,false
SUB00262,SHRT0015,2024-04-10,ST006,31628-407-85,29822-308-70,false,Accepted,true
SUB00263,SHRT0015,2024-04-13,ST001,31628-407-85,62560-925-82,false,Deferred,true
SUB00264,SHRT0015,2024-04-05,ST008,31628-407-85,62560-925-82,false,Accepted,false
SUB00265,SHRT0015,2024-04-04,ST009,31628-407-85,69643-267-49,false,Accepted,true
SUB00266,SHRT0015,2024-04-11,ST002,31628-407-85,58270-597-14,false,Accepted,false
SUB00267,SHRT0015,2024-04-14,ST004,31628-407-85,69643-267-49,false,Accepted,false
SUB00268,SHRT0016,2026-05-07,ST002,39879-392-11,42942-986-15,false,Deferred,true
SUB00269,SHRT0016,2026-05-19,ST005,39879-392-11,38966-795-36,false,Accepted,true
SUB00270,SHRT0016,2026-05-09,ST002,39879-392-11,43925-318-87,false,Accepted,false
SUB00271,SHRT0016,2026-05-14,ST008,39879-392-11,43925-318-87,false,Accepted,false
SUB00272,SHRT0016,2026-05-07,ST005,39879-392-11,86286-772-25,false,Accepted,false
SUB00273,SHRT0016,2026-05-24,ST006,39879-392-11,43925-318-87,false,Accepted,true
SUB00274,SHRT0016,2026-05-07,ST012,39879-392-11,42942-986-15,false,Accepted,true
SUB00275,SHRT0016,2026-05-23,ST008,39879-392-11,43925-318-87,false,Rejected,false
SUB00276,SHRT0016,2026-05-24,ST012,39879-392-11,86286-772-25,false,Accepted,true
SUB00277,SHRT0016,2026-05-14,ST002,39879-392-11,42942-986-15,false,Accepted,true
SUB00278,SHRT0016,2026-05-07,ST009,39879-392-11,42942-986-15,false,Deferred,true
SUB00279,SHRT0016,2026-05-07,ST008,39879-392-11,38966-795-36,false,Accepted,false
SUB00280,SHRT0016,2026-05-16,ST010,39879-392-11,42942-986-15,false,Rejected,false
SUB00281,SHRT0016,2026-05-05,ST005,39879-392-11,86286-772-25,false,Deferred,true
SUB00282,SHRT0016,2026-05-06,ST001,39879-392-11,38966-795-36,false,Accepted,true
SUB00283,SHRT0016,2026-05-19,ST012,39879-392-11,86286-772-25,false,Accepted,false
SUB00284,SHRT0016,2026-05-22,ST003,39879-392-11,38966-795-36,false,Accepted,true
SUB00285,SHRT0016,2026-05-09,ST008,39879-392-11,38966-795-36,false,Accepted,true
SUB00286,SHRT0016,2026-05-09,ST007,39879-392-11,86286-772-25,false,Deferred,true
SUB00287,SHRT0016,2026-05-17,ST009,39879-392-11,43925-318-87,false,Accepted,false
SUB00288,SHRT0016,2026-05-16,ST009,39879-392-11,42942-986-15,false,Accepted,false
SUB00289,SHRT0016,2026-05-21,ST004,39879-392-11,42942-986-15,false,Accepted,true
SUB00290,SHRT0016,2026-05-06,ST009,39879-392-11,86286-772-25,false,Deferred,true
SUB00291,SHRT0017,2025-11-25,ST012,87807-177-51,59096-233-20,true,Accepted,true
SUB00292,SHRT0017,2025-11-26,ST010,87807-177-51,37145-988-17,true,Accepted,true
SUB00293,SHRT0017,2025-11-22,ST004,87807-177-51,67627-525-82,true,Accepted,true
SUB00294,SHRT0017,2025-11-19,ST004,87807-177-51,37145-988-17,true,Rejected,true
SUB00295,SHRT0017,2025-11-15,ST004,87807-177-51,37145-988-17,true,Accepted,true
