date,store_id,ndc,on_hand_qty,in_transit_qty,days_of_supply,reorder_point_days,target_days_of_supply
2025-02-24,ST001,37559-713-63,24,43,4,7,14
2025-03-03,ST001,37559-713-63,73,0,12.2,7,14
2025-03-10,ST001,37559-713-63,39,45,6.5,7,14
2025-03-17,ST001,37559-713-63,41,43,6.9,7,14
2025-03-24,ST001,37559-713-63,55,0,9.2,7,14
2025-03-31,ST001,37559-713-63,62,0,10.4,7,14
2025-04-07,ST001,37559-713-63,29,44,4.8,7,14
2025-04-14,ST001,37559-713-63,34,43,5.7,7,14
2025-04-21,ST001,37559-713-63,46,0,7.7,7,14
2025-04-28,ST001,37559-713-63,55,0,9.2,7,14
2025-05-05,ST001,37559-713-63,62,0,10.4,7,14
2025-05-12,ST001,37559-713-63,65,0,10.9,7,14
2025-05-19,ST001,37559-713-63,32,43,5.3,7,14
2025-05-26,ST001,37559-713-63,39,45,6.5,7,14
2025-06-02,ST001,37559-713-63,46,0,7.7,7,14
2025-06-09,ST001,37559-713-63,59,0,9.9,7,14
2025-06-16,ST001,37559-713-63,38,46,6.3,7,14
2025-06-23,ST001,37559-713-63,54,0,9,7,14
2025-06-30,ST001,37559-713-63,54,0,9,7,14
2025-07-07,ST001,37559-713-63,61,0,10.2,7,14
2025-07-14,ST001,37559-713-63,60,0,10,7,14
2025-07-21,ST001,37559-713-63,63,0,10.5,7,14
2025-07-28,ST001,37559-713-63,25,45,4.2,7,14
2025-08-04,ST001,37559-713-63,26,43,4.3,7,14
2025-08-11,ST001,37559-713-63,31,53,5.2,7,14
2025-08-18,ST001,37559-713-63,48,0,8,7,14
2025-08-25,ST001,37559-713-63,51,0,8.5,7,14
2025-09-01,ST001,37559-713-63,68,0,11.4,7,14
2025-09-08,ST001,37559-713-63,40,44,6.7,7,14
2025-09-15,ST001,37559-713-63,37,47,6.2,7,14
2025-09-22,ST001,37559-713-63,50,0,8.4,7,14
2025-09-29,ST001,37559-713-63,62,0,10.4,7,14
2025-10-06,ST001,37559-713-63,63,0,10.5,7,14
2025-10-13,ST001,37559-713-63,37,47,6.2,7,14
2025-10-20,ST001,37559-713-63,47,0,7.9,7,14
2025-10-27,ST001,37559-713-63,44,0,7.4,7,14
2025-11-03,ST001,37559-713-63,51,0,8.5,7,14
2025-11-10,ST001,37559-713-63,48,0,8,7,14
2025-11-17,ST001,37559-713-63,65,0,10.9,7,14
2025-11-24,ST001,37559-713-63,64,0,10.7,7,14
2025-12-01,ST001,37559-713-63,22,48,3.7,7,14
2025-12-08,ST001,37559-713-63,34,45,5.7,7,14
2025-12-15,ST001,37559-713-63,39,45,6.5,7,14
2025-12-22,ST001,37559-713-63,52,0,8.7,7,14
2025-12-29,ST001,37559-713-63,58,0,9.7,7,14
2024-01-01,ST001,59428-765-88,93,0,13.2,7,14
2024-01-08,ST001,59428-765-88,44,55,6.2,7,14
2024-01-15,ST001,59428-765-88,62,0,8.8,7,14
2024-01-22,ST001,59428-765-88,61,0,8.6,7,14
2024-01-29,ST001,59428-765-88,72,0,10.2,7,14
2024-02-05,ST001,59428-765-88,85,0,12,7,14
2024-02-12,ST001,59428-765-88,85,0,12,7,14
2024-02-19,ST001,59428-765-88,91,0,12.9,7,14
2024-02-26,ST001,59428-765-88,88,0,12.5,7,14
2024-03-04,ST001,59428-765-88,39,60,5.5,7,14
2024-03-11,ST001,59428-765-88,60,0,8.5,7,14
2024-03-18,ST001,59428-765-88,74,0,10.5,7,14
2024-03-25,ST001,59428-765-88,82,0,11.6,7,14
2024-04-01,ST001,59428-765-88,43,51,6.1,7,14
2024-04-08,ST001,59428-765-88,64,0,9.1,7,14
2024-04-15,ST001,59428-765-88,78,0,11,7,14
2024-04-22,ST001,59428-765-88,45,54,6.4,7,14
2024-04-29,ST001,59428-765-88,53,0,7.5,7,14
2024-05-06,ST001,59428-765-88,75,0,10.6,7,14
2024-05-13,ST001,59428-765-88,78,0,11,7,14
2024-05-20,ST001,59428-765-88,32,51,4.5,7,14
2024-05-27,ST001,59428-765-88,44,50,6.2,7,14
2024-06-03,ST001,59428-765-88,56,0,7.9,7,14
2024-06-10,ST001,59428-765-88,60,0,8.5,7,14
2024-06-17,ST001,59428-765-88,64,0,9.1,7,14
2024-06-24,ST001,59428-765-88,87,0,12.3,7,14
2024-07-01,ST001,59428-765-88,46,53,6.5,7,14
2024-07-08,ST001,59428-765-88,44,55,6.2,7,14
2024-07-15,ST001,59428-765-88,62,0,8.8,7,14
2024-07-22,ST001,59428-765-88,62,0,8.8,7,14
2024-07-29,ST001,59428-765-88,78,0,11,7,14
2024-08-05,ST001,59428-765-88,42,50,5.9,7,14
2024-08-12,ST001,59428-765-88,54,0,7.6,7,14
2024-08-19,ST001,59428-765-88,70,0,9.9,7,14
2024-08-26,ST001,59428-765-88,80,0,11.3,7,14
2024-09-02,ST001,59428-765-88,33,55,4.7,7,14
2024-09-09,ST001,59428-765-88,43,52,6.1,7,14
2024-09-16,ST001,59428-765-88,61,0,8.6,7,14
2024-09-23,ST001,59428-765-88,80,0,11.3,7,14
2024-09-30,ST001,59428-765-88,35,55,5,7,14
2024-10-07,ST001,59428-765-88,50,0,7.1,7,14
2024-10-14,ST001,59428-765-88,65,0,9.2,7,14
2024-10-21,ST001,59428-765-88,67,0,9.5,7,14
2024-10-28,ST001,59428-765-88,77,0,10.9,7,14
2024-11-04,ST001,59428-765-88,92,0,13,7,14
2024-11-11,ST001,59428-765-88,34,50,4.8,7,14
2024-11-18,ST001,59428-765-88,36,56,5.1,7,14
2024-11-25,ST001,59428-765-88,47,52,6.7,7,14
2024-12-02,ST001,59428-765-88,64,0,9.1,7,14
2024-12-09,ST001,59428-765-88,76,0,10.8,7,14
2024-12-16,ST001,59428-765-88,42,53,5.9,7,14
2024-12-23,ST001,59428-765-88,55,0,7.8,7,14
2024-12-30,ST001,59428-765-88,61,0,8.6,7,14
2025-01-06,ST001,59428-765-88,80,0,11.3,7,14
2025-01-13,ST001,59428-765-88,42,53,5.9,7,14
2025-01-20,ST001,59428-765-88,52,0,7.4,7,14
2025-01-27,ST001,59428-765-88,53,0,7.5,7,14
2025-02-03,ST001,59428-765-88,59,0,8.4,7,14
2025-02-10,ST001,59428-765-88,69,0,9.8,7,14
2025-02-17,ST001,59428-765-88,81,0,11.5,7,14
2025-02-24,ST001,59428-765-88,41,52,5.8,7,14
2025-03-03,ST001,59428-765-88,55,0,7.8,7,14
2025-03-10,ST001,59428-765-88,65,0,9.2,7,14
2025-03-17,ST001,59428-765-88,71,0,10,7,14
2025-03-24,ST001,59428-765-88,87,0,12.3,7,14
2025-03-31,ST001,59428-765-88,54,0,7.6,7,14
2025-04-07,ST001,59428-765-88,56,0,7.9,7,14
2025-04-14,ST001,59428-765-88,65,0,9.2,7,14
2025-04-21,ST001,59428-765-88,70,0,9.9,7,14
2025-04-28,ST001,59428-765-88,77,0,10.9,7,14
2025-05-05,ST001,59428-765-88,83,0,11.7,7,14
2025-05-12,ST001,59428-765-88,41,50,5.8,7,14
2025-05-19,ST001,59428-765-88,31,54,4.4,7,14
2025-05-26,ST001,59428-765-88,37,51,5.2,7,14
2025-06-02,ST001,59428-765-88,36,53,5.1,7,14
2025-06-09,ST001,59428-765-88,42,57,5.9,7,14
2025-06-16,ST001,59428-765-88,69,0,9.8,7,14
2025-06-23,ST001,59428-765-88,84,0,11.9,7,14
2025-06-30,ST001,59428-765-88,38,53,5.4,7,14
2025-07-07,ST001,59428-765-88,40,50,5.7,7,14
2025-07-14,ST001,59428-765-88,44,55,6.2,7,14
2025-07-21,ST001,59428-765-88,43,51,6.1,7,14
2025-07-28,ST001,59428-765-88,51,0,7.2,7,14
2025-08-04,ST001,59428-765-88,51,0,7.2,7,14
2025-08-11,ST001,59428-765-88,62,0,8.8,7,14
2025-08-18,ST001,59428-765-88,66,0,9.3,7,14
2025-08-25,ST001,59428-765-88,64,0,9.1,7,14
2025-09-01,ST001,59428-765-88,60,0,8.5,7,14
2025-09-08,ST001,59428-765-88,76,0,10.8,7,14
2025-09-15,ST001,59428-765-88,34,53,4.8,7,14
2025-09-22,ST001,59428-765-88,36,52,5.1,7,14
2025-09-29,ST001,59428-765-88,89,0,12.6,7,14
2025-10-06,ST001,59428-765-88,49,50,6.9,7,14
2025-10-13,ST001,59428-765-88,55,0,7.8,7,14
2025-10-20,ST001,59428-765-88,71,0,10,7,14
2025-10-27,ST001,59428-765-88,75,0,10.6,7,14
2025-11-03,ST001,59428-765-88,91,0,12.9,7,14
2025-11-10,ST001,59428-765-88,45,54,6.4,7,14
2025-11-17,ST001,59428-765-88,58,0,8.2,7,14
2025-11-24,ST001,59428-765-88,73,0,10.3,7,14
2025-12-01,ST001,59428-765-88,85,0,12,7,14
2025-12-08,ST001,59428-765-88,44,55,6.2,7,14
2025-12-15,ST001,59428-765-88,52,0,7.4,7,14
2025-12-22,ST001,59428-765-88,60,0,8.5,7,14
2025-12-29,ST001,59428-765-88,58,0,8.2,7,14
2024-01-01,ST001,83963-779-88,26,0,20.4,10,21
2024-01-08,ST001,83963-779-88,18,0,14.1,10,21
2024-01-15,ST001,83963-779-88,12,15,9.4,10,21
2024-01-22,ST001,83963-779-88,20,0,15.7,10,21
2024-01-29,ST001,83963-779-88,15,0,11.8,10,21
2024-02-05,ST001,83963-779-88,9,15,7.1,10,21
2024-02-12,ST001,83963-779-88,20,0,15.7,10,21
2024-02-19,ST001,83963-779-88,14,0,11,10,21
2024-02-26,ST001,83963-779-88,17,0,13.3,10,21
2024-03-04,ST001,83963-779-88,12,15,9.4,10,21
2024-03-11,ST001,83963-779-88,22,0,17.2,10,21
2024-03-18,ST001,83963-779-88,13,0,10.2,10,21
2024-03-25,ST001,83963-779-88,19,0,14.9,10,21
2024-04-01,ST001,83963-779-88,25,0,19.6,10,21
2024-04-08,ST001,83963-779-88,20,0,15.7,10,21
2024-04-15,ST001,83963-779-88,23,0,18,10,21
2024-04-22,ST001,83963-779-88,17,0,13.3,10,21
2024-04-29,ST001,83963-779-88,22,0,17.2,10,21
2024-05-06,ST001,83963-779-88,23,0,18,10,21
2024-05-13,ST001,83963-779-88,17,0,13.3,10,21
2024-05-20,ST001,83963-779-88,21,0,16.5,10,21
2024-05-27,ST001,83963-779-88,15,0,11.8,10,21
2024-06-03,ST001,83963-779-88,12,15,9.4,10,21
2024-06-10,ST001,83963-779-88,22,0,17.2,10,21
2024-06-17,ST001,83963-779-88,14,0,11,10,21
2024-06-24,ST001,83963-779-88,19,0,14.9,10,21
2024-07-01,ST001,83963-779-88,10,17,7.8,10,21
2024-07-08,ST001,83963-779-88,19,0,14.9,10,21
2024-07-15,ST001,83963-779-88,15,0,11.8,10,21
2024-07-22,ST001,83963-779-88,19,0,14.9,10,21
2024-07-29,ST001,83963-779-88,12,15,9.4,10,21
2024-08-05,ST001,83963-779-88,20,0,15.7,10,21
2024-08-12,ST001,83963-779-88,12,15,9.4,10,21
2024-08-19,ST001,83963-779-88,18,0,14.1,10,21
2024-08-26,ST001,83963-779-88,13,0,10.2,10,21
2024-09-02,ST001,83963-779-88,18,0,14.1,10,21
2024-09-09,ST001,83963-779-88,12,15,9.4,10,21
2024-09-16,ST001,83963-779-88,18,0,14.1,10,21
2024-09-23,ST001,83963-779-88,22,0,17.2,10,21
2024-09-30,ST001,83963-779-88,16,0,12.5,10,21
2024-10-07,ST001,83963-779-88,8,17,6.3,10,21
2024-10-14,ST001,83963-779-88,20,0,15.7,10,21
2024-10-21,ST001,83963-779-88,13,0,10.2,10,21
2024-10-28,ST001,83963-779-88,15,0,11.8,10,21
2024-11-04,ST001,83963-779-88,22,0,17.2,10,21
2024-11-11,ST001,83963-779-88,12,15,9.4,10,21
2024-11-18,ST001,83963-779-88,15,0,11.8,10,21
2024-11-25,ST001,83963-779-88,25,0,19.6,10,21
2024-12-02,ST001,83963-779-88,15,0,11.8,10,21
2024-12-09,ST001,83963-779-88,23,0,18,10,21
2024-12-16,ST001,83963-779-88,14,0,11,10,21
2024-12-23,ST001,83963-779-88,24,0,18.8,10,21
2024-12-30,ST001,83963-779-88,16,0,12.5,10,21
2025-01-06,ST001,83963-779-88,25,0,19.6,10,21
2025-01-13,ST001,83963-779-88,14,0,11,10,21
2025-01-20,ST001,83963-779-88,20,0,15.7,10,21
2025-01-27,ST001,83963-779-88,9,18,7.1,10,21
2025-02-03,ST001,83963-779-88,11,16,8.6,10,21
2025-02-10,ST001,83963-779-88,24,0,18.8,10,21
2025-02-17,ST001,83963-779-88,15,0,11.8,10,21
2025-02-24,ST001,83963-779-88,23,0,18,10,21
2025-03-03,ST001,83963-779-88,18,0,14.1,10,21
2025-03-10,ST001,83963-779-88,10,15,7.8,10,21
2025-03-17,ST001,83963-779-88,15,0,11.8,10,21
2025-03-24,ST001,83963-779-88,26,0,20.4,10,21
2025-03-31,ST001,83963-779-88,19,0,14.9,10,21
2025-04-07,ST001,83963-779-88,14,0,11,10,21
2025-04-14,ST001,83963-779-88,19,0,14.9,10,21
2025-04-21,ST001,83963-779-88,16,0,12.5,10,21
2025-04-28,ST001,83963-779-88,12,15,9.4,10,21
2025-05-05,ST001,83963-779-88,21,0,16.5,10,21
2025-05-12,ST001,83963-779-88,14,0,11,10,21
2025-05-19,ST001,83963-779-88,21,0,16.5,10,21
2025-05-26,ST001,83963-779-88,13,0,10.2,10,21
2025-06-02,ST001,83963-779-88,21,0,16.5,10,21
2025-06-09,ST001,83963-779-88,15,0,11.8,10,21
2025-06-16,ST001,83963-779-88,22,0,17.2,10,21
2025-06-23,ST001,83963-779-88,20,0,15.7,10,21
2025-06-30,ST001,83963-779-88,24,0,18.8,10,21
2025-07-07,ST001,83963-779-88,16,0,12.5,10,21
2025-07-14,ST001,83963-779-88,13,0,10.2,10,21
2025-07-21,ST001,83963-779-88,22,0,17.2,10,21
2025-07-28,ST001,83963-779-88,14,0,11,10,21
2025-08-04,ST001,83963-779-88,21,0,16.5,10,21
2025-08-11,ST001,83963-779-88,15,0,11.8,10,21
2025-08-18,ST001,83963-779-88,24,0,18.8,10,21
2025-08-25,ST001,83963-779-88,19,0,14.9,10,21
2025-09-01,ST001,83963-779-88,10,17,7.8,10,21
2025-09-08,ST001,83963-779-88,19,0,14.9,10,21
2025-09-15,ST001,83963-779-88,15,0,11.8,10,21
2025-09-22,ST001,83963-779-88,17,0,13.3,10,21
2025-09-29,ST001,83963-779-88,23,0,18,10,21
2025-10-06,ST001,83963-779-88,17,0,13.3,10,21
2025-10-13,ST001,83963-779-88,20,0,15.7,10,21
2025-10-20,ST001,83963-779-88,15,0,11.8,10,21
2025-10-27,ST001,83963-779-88,13,0,10.2,10,21
2025-11-03,ST001,83963-779-88,18,0,14.1,10,21
2025-11-10,ST001,83963-779-88,12,15,9.4,10,21
2025-11-17,ST001,83963-779-88,20,0,15.7,10,21
2025-11-24,ST001,83963-779-88,21,0,16.5,10,21
2025-12-01,ST001,83963-779-88,12,15,9.4,10,21
2025-12-08,ST001,83963-779-88,20,0,15.7,10,21
2025-12-15,ST001,83963-779-88,14,0,11,10,21
2025-12-22,ST001,83963-779-88,24,0,18.8,10,21
2025-12-29,ST001,83963-779-88,17,0,13.3,10,21
2024-01-01,ST001,25443-741-74,24,0,19.3,10,21
2024-01-08,ST001,25443-741-74,20,0,16.1,10,21
2024-01-15,ST001,25443-741-74,15,0,12.1,10,21
2024-01-22,ST001,25443-741-74,18,0,14.5,10,21
2024-01-29,ST001,25443-741-74,20,0,16.1,10,21
2024-02-05,ST001,25443-741-74,12,14,9.7,10,21
2024-02-12,ST001,25443-741-74,11,15,8.8,10,21
2024-02-19,ST001,25443-741-74,20,0,16.1,10,21
2024-02-26,ST001,25443-741-74,11,15,8.8,10,21
2024-03-04,ST001,25443-741-74,21,0,16.9,10,21
2024-03-11,ST001,25443-741-74,16,0,12.9,10,21
2024-03-18,ST001,25443-741-74,20,0,16.1,10,21
2024-03-25,ST001,25443-741-74,14,0,11.3,10,21
2024-04-01,ST001,25443-741-74,19,0,15.3,10,21
2024-04-08,ST001,25443-741-74,14,0,11.3,10,21
2024-04-15,ST001,25443-741-74,20,0,16.1,10,21
2024-04-22,ST001,25443-741-74,13,0,10.5,10,21
2024-04-29,ST001,25443-741-74,20,0,16.1,10,21
2024-05-06,ST001,25443-741-74,18,0,14.5,10,21
2024-05-13,ST001,25443-741-74,20,0,16.1,10,21
2024-05-20,ST001,25443-741-74,24,0,19.3,10,21
2024-05-27,ST001,25443-741-74,14,0,11.3,10,21
2024-06-03,ST001,25443-741-74,22,0,17.7,10,21
2024-06-10,ST001,25443-741-74,12,14,9.7,10,21
2024-06-17,ST001,25443-741-74,18,0,14.5,10,21
2024-06-24,ST001,25443-741-74,25,0,20.1,10,21
2024-07-01,ST001,25443-741-74,20,0,16.1,10,21
2024-07-08,ST001,25443-741-74,10,14,8,10,21
2024-07-15,ST001,25443-741-74,19,0,15.3,10,21
2024-07-22,ST001,25443-741-74,12,14,9.7,10,21
2024-07-29,ST001,25443-741-74,17,0,13.7,10,21
2024-08-05,ST001,25443-741-74,21,0,16.9,10,21
2024-08-12,ST001,25443-741-74,11,15,8.8,10,21
2024-08-19,ST001,25443-741-74,21,0,16.9,10,21
2024-08-26,ST001,25443-741-74,15,0,12.1,10,21
2024-09-02,ST001,25443-741-74,22,0,17.7,10,21
2024-09-09,ST001,25443-741-74,14,0,11.3,10,21
2024-09-16,ST001,25443-741-74,20,0,16.1,10,21
2024-09-23,ST001,25443-741-74,13,0,10.5,10,21
2024-09-30,ST001,25443-741-74,21,0,16.9,10,21
2024-10-07,ST001,25443-741-74,15,0,12.1,10,21
2024-10-14,ST001,25443-741-74,22,0,17.7,10,21
2024-10-21,ST001,25443-741-74,25,0,20.1,10,21
2024-10-28,ST001,25443-741-74,18,0,14.5,10,21
2024-11-04,ST001,25443-741-74,22,0,17.7,10,21
2024-11-11,ST001,25443-741-74,18,0,14.5,10,21
2024-11-18,ST001,25443-741-74,11,15,8.8,10,21
